 iv  ih    lon_min    lon_max   lat_min   lat_max
  0   0  -999.0000  -999.0000  -99.0000  -99.0000
  0   1  -999.0000  -999.0000  -99.0000  -99.0000
  0   2  -999.0000  -999.0000  -99.0000  -99.0000
  0   3  -999.0000  -999.0000  -99.0000  -99.0000
  0   4  -999.0000  -999.0000  -99.0000  -99.0000
  0   5  -999.0000  -999.0000  -99.0000  -99.0000
  0   6  -999.0000  -999.0000  -99.0000  -99.0000
  0   7  -999.0000  -999.0000  -99.0000  -99.0000
  0   8  -999.0000  -999.0000  -99.0000  -99.0000
  0   9  -999.0000  -999.0000  -99.0000  -99.0000
  0  10  -999.0000  -999.0000  -99.0000  -99.0000
  0  11  -999.0000  -999.0000  -99.0000  -99.0000
  0  12  -999.0000  -999.0000  -99.0000  -99.0000
  0  13  -999.0000  -999.0000  -99.0000  -99.0000
  0  14  -180.0000  -172.7990   80.0000   80.4083
  0  15  -180.0000  -115.1914   80.0000   83.6167
  0  16  -180.0000   -57.5837   80.0000   86.8167
  0  17  -180.0000    59.9880   80.0000   90.0000
  0  18     0.0000   180.0000   80.0000   90.0000
  0  19    57.6317   180.0000   80.0000   86.8167
  0  20   115.2394   180.0000   80.0000   83.6167
  0  21   172.8471   180.0000   80.0000   80.4000
  0  22  -999.0000  -999.0000  -99.0000  -99.0000
  0  23  -999.0000  -999.0000  -99.0000  -99.0000
  0  24  -999.0000  -999.0000  -99.0000  -99.0000
  0  25  -999.0000  -999.0000  -99.0000  -99.0000
  0  26  -999.0000  -999.0000  -99.0000  -99.0000
  0  27  -999.0000  -999.0000  -99.0000  -99.0000
  0  28  -999.0000  -999.0000  -99.0000  -99.0000
  0  29  -999.0000  -999.0000  -99.0000  -99.0000
  0  30  -999.0000  -999.0000  -99.0000  -99.0000
  0  31  -999.0000  -999.0000  -99.0000  -99.0000
  0  32  -999.0000  -999.0000  -99.0000  -99.0000
  0  33  -999.0000  -999.0000  -99.0000  -99.0000
  0  34  -999.0000  -999.0000  -99.0000  -99.0000
  0  35  -999.0000  -999.0000  -99.0000  -99.0000
  1   0  -999.0000  -999.0000  -99.0000  -99.0000
  1   1  -999.0000  -999.0000  -99.0000  -99.0000
  1   2  -999.0000  -999.0000  -99.0000  -99.0000
  1   3  -999.0000  -999.0000  -99.0000  -99.0000
  1   4  -999.0000  -999.0000  -99.0000  -99.0000
  1   5  -999.0000  -999.0000  -99.0000  -99.0000
  1   6  -999.0000  -999.0000  -99.0000  -99.0000
  1   7  -999.0000  -999.0000  -99.0000  -99.0000
  1   8  -999.0000  -999.0000  -99.0000  -99.0000
  1   9  -999.0000  -999.0000  -99.0000  -99.0000
  1  10  -999.0000  -999.0000  -99.0000  -99.0000
  1  11  -180.0000  -175.4671   70.0000   70.5250
  1  12  -180.0000  -146.2226   70.0000   73.8750
  1  13  -180.0000  -116.9781   70.0000   77.1583
  1  14  -180.0000   -87.7336   70.0000   80.0000
  1  15  -172.6609   -58.4890   70.0000   80.0000
  1  16  -115.0993   -29.2445   70.0000   80.0000
  1  17   -57.5376     0.0240   70.0000   80.0000
  1  18     0.0000    57.5856   70.0000   80.0000
  1  19    29.2445   115.1472   70.0000   80.0000
  1  20    58.4890   172.7089   70.0000   80.0000
  1  21    87.7336   180.0000   70.0000   80.0000
  1  22   116.9781   180.0000   70.0000   77.1583
  1  23   146.2226   180.0000   70.0000   73.8667
  1  24   175.4671   180.0000   70.0000   70.5250
  1  25  -999.0000  -999.0000  -99.0000  -99.0000
  1  26  -999.0000  -999.0000  -99.0000  -99.0000
  1  27  -999.0000  -999.0000  -99.0000  -99.0000
  1  28  -999.0000  -999.0000  -99.0000  -99.0000
  1  29  -999.0000  -999.0000  -99.0000  -99.0000
  1  30  -999.0000  -999.0000  -99.0000  -99.0000
  1  31  -999.0000  -999.0000  -99.0000  -99.0000
  1  32  -999.0000  -999.0000  -99.0000  -99.0000
  1  33  -999.0000  -999.0000  -99.0000  -99.0000
  1  34  -999.0000  -999.0000  -99.0000  -99.0000
  1  35  -999.0000  -999.0000  -99.0000  -99.0000
  2   0  -999.0000  -999.0000  -99.0000  -99.0000
  2   1  -999.0000  -999.0000  -99.0000  -99.0000
  2   2  -999.0000  -999.0000  -99.0000  -99.0000
  2   3  -999.0000  -999.0000  -99.0000  -99.0000
  2   4  -999.0000  -999.0000  -99.0000  -99.0000
  2   5  -999.0000  -999.0000  -99.0000  -99.0000
  2   6  -999.0000  -999.0000  -99.0000  -99.0000
  2   7  -999.0000  -999.0000  -99.0000  -99.0000
  2   8  -999.0000  -999.0000  -99.0000  -99.0000
  2   9  -180.0000  -160.0139   60.0000   63.6083
  2  10  -180.0000  -140.0111   60.0000   67.1167
  2  11  -180.0000  -120.0083   60.0000   70.0000
  2  12  -175.3959  -100.0056   60.0000   70.0000
  2  13  -146.1632   -80.0028   60.0000   70.0000
  2  14  -116.9306   -60.0000   60.0000   70.0000
  2  15   -87.6979   -39.9972   60.0000   70.0000
  2  16   -58.4653   -19.9944   60.0000   70.0000
  2  17   -29.2326     0.0121   60.0000   70.0000
  2  18     0.0000    29.2326   60.0000   70.0000
  2  19    20.0074    58.4653   60.0000   70.0000
  2  20    40.0139    87.6979   60.0000   70.0000
  2  21    60.0167   116.9306   60.0000   70.0000
  2  22    80.0194   146.1632   60.0000   70.0000
  2  23   100.0222   175.3959   60.0000   70.0000
  2  24   120.0250   180.0000   60.0000   70.0000
  2  25   140.0278   180.0000   60.0000   67.1083
  2  26   160.0306   180.0000   60.0000   63.6083
  2  27  -999.0000  -999.0000  -99.0000  -99.0000
  2  28  -999.0000  -999.0000  -99.0000  -99.0000
  2  29  -999.0000  -999.0000  -99.0000  -99.0000
  2  30  -999.0000  -999.0000  -99.0000  -99.0000
  2  31  -999.0000  -999.0000  -99.0000  -99.0000
  2  32  -999.0000  -999.0000  -99.0000  -99.0000
  2  33  -999.0000  -999.0000  -99.0000  -99.0000
  2  34  -999.0000  -999.0000  -99.0000  -99.0000
  2  35  -999.0000  -999.0000  -99.0000  -99.0000
  3   0  -999.0000  -999.0000  -99.0000  -99.0000
  3   1  -999.0000  -999.0000  -99.0000  -99.0000
  3   2  -999.0000  -999.0000  -99.0000  -99.0000
  3   3  -999.0000  -999.0000  -99.0000  -99.0000
  3   4  -999.0000  -999.0000  -99.0000  -99.0000
  3   5  -999.0000  -999.0000  -99.0000  -99.0000
  3   6  -180.0000  -171.1446   50.0000   52.3333
  3   7  -180.0000  -155.5860   50.0000   56.2500
  3   8  -180.0000  -140.0274   50.0000   60.0000
  3   9  -179.9667  -124.4688   50.0000   60.0000
  3  10  -159.9694  -108.9102   50.0000   60.0000
  3  11  -139.9722   -93.3516   50.0000   60.0000
  3  12  -119.9750   -77.7930   50.0000   60.0000
  3  13   -99.9778   -62.2344   50.0000   60.0000
  3  14   -79.9806   -46.6758   50.0000   60.0000
  3  15   -59.9833   -31.1163   50.0000   60.0000
  3  16   -39.9861   -15.5549   50.0000   60.0000
  3  17   -19.9926     0.0083   50.0000   60.0000
  3  18     0.0000    20.0056   50.0000   60.0000
  3  19    15.5586    40.0028   50.0000   60.0000
  3  20    31.1172    60.0000   50.0000   60.0000
  3  21    46.6758    79.9972   50.0000   60.0000
  3  22    62.2344    99.9944   50.0000   60.0000
  3  23    77.7930   119.9917   50.0000   60.0000
  3  24    93.3516   139.9889   50.0000   60.0000
  3  25   108.9102   159.9861   50.0000   60.0000
  3  26   124.4688   179.9833   50.0000   60.0000
  3  27   140.0274   180.0000   50.0000   60.0000
  3  28   155.5860   180.0000   50.0000   56.2500
  3  29   171.1446   180.0000   50.0000   52.3250
  3  30  -999.0000  -999.0000  -99.0000  -99.0000
  3  31  -999.0000  -999.0000  -99.0000  -99.0000
  3  32  -999.0000  -999.0000  -99.0000  -99.0000
  3  33  -999.0000  -999.0000  -99.0000  -99.0000
  3  34  -999.0000  -999.0000  -99.0000  -99.0000
  3  35  -999.0000  -999.0000  -99.0000  -99.0000
  4   0  -999.0000  -999.0000  -99.0000  -99.0000
  4   1  -999.0000  -999.0000  -99.0000  -99.0000
  4   2  -999.0000  -999.0000  -99.0000  -99.0000
  4   3  -999.0000  -999.0000  -99.0000  -99.0000
  4   4  -180.0000  -169.7084   40.0000   43.7583
  4   5  -180.0000  -156.6535   40.0000   48.1917
  4   6  -180.0000  -143.5986   40.0000   50.0000
  4   7  -171.1073  -130.5437   40.0000   50.0000
  4   8  -155.5515  -117.4887   40.0000   50.0000
  4   9  -139.9957  -104.4338   40.0000   50.0000
  4  10  -124.4399   -91.3789   40.0000   50.0000
  4  11  -108.8841   -78.3240   40.0000   50.0000
  4  12   -93.3283   -65.2691   40.0000   50.0000
  4  13   -77.7725   -52.2142   40.0000   50.0000
  4  14   -62.2167   -39.1593   40.0000   50.0000
  4  15   -46.6609   -26.1044   40.0000   50.0000
  4  16   -31.1060   -13.0495   40.0000   50.0000
  4  17   -15.5530     0.0065   40.0000   50.0000
  4  18     0.0000    15.5623   40.0000   50.0000
  4  19    13.0603    31.1181   40.0000   50.0000
  4  20    26.1153    46.6739   40.0000   50.0000
  4  21    39.1702    62.2297   40.0000   50.0000
